"Identificador do processo de viagem";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço"
"0000000000014356124";"Aéreo";"Brasil";"Sergipe";"Aracaju";"Brasil";"Santa Catarina";"Florianópolis";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"561,85";"0,00"
"0000000000014356124";"Aéreo";"Brasil";"Santa Catarina";"Florianópolis";"Brasil";"Sergipe";"Aracaju";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"523,41";"0,00"
"0000000000014356193";"Aéreo";"Brasil";"Sergipe";"Aracaju";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"392,09";"0,00"
"0000000000014356193";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Sergipe";"Aracaju";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"307,70";"0,00"
"0000000000014356245";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Sergipe";"Aracaju";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"307,70";"0,00"
"0000000000014356245";"Aéreo";"Brasil";"Sergipe";"Aracaju";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"410,52";"0,00"
"0000000000014356292";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Sergipe";"Aracaju";"Brasil";"Sergipe";"Aracaju";"Brasil";"Distrito Federal";"Brasília";"912,88";"0,00"
"0000000000014357075";"Aéreo";"Brasil";"Bahia";"Vitória da Conquista";"Brasil";"Sergipe";"Aracaju";"Brasil";"Sergipe";"Aracaju";"Brasil";"Bahia";"Vitória da Conquista";"2254,78";"0,00"
"0000000000014357198";"Aéreo";"Brasil";"Rio Grande do Norte";"Natal";"Brasil";"Sergipe";"Aracaju";"Brasil";"Sergipe";"Aracaju";"Brasil";"Rio Grande do Norte";"Natal";"675,53";"0,00"
"0000000000014357300";"Aéreo";"Brasil";"Rio Grande do Norte";"Natal";"Brasil";"Sergipe";"Aracaju";"Brasil";"Sergipe";"Aracaju";"Brasil";"Rio Grande do Norte";"Natal";"685,23";"0,00"
"0000000000014357382";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Sergipe";"Aracaju";"Brasil";"Sergipe";"Aracaju";"Brasil";"Bahia";"Salvador";"323,05";"0,00"
"0000000000014357440";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Sergipe";"Aracaju";"Brasil";"Sergipe";"Aracaju";"Brasil";"Bahia";"Salvador";"323,05";"0,00"
"0000000000014357494";"Aéreo";"Brasil";"Alagoas";"Maceió";"Brasil";"Sergipe";"Aracaju";"Brasil";"Sergipe";"Aracaju";"Brasil";"Alagoas";"Maceió";"607,06";"0,00"
"0000000000014357621";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Suíça";"";"Genebra";"Suíça";"";"Genebra";"Brasil";"Distrito Federal";"Brasília";"5271,14";"0,00"
"0000000000014361742";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"585,61";"0,00"
"0000000000014361742";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"453,70";"0,00"
"0000000000014364133";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Rio Grande do Sul";"Santa Maria";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"117,10";"0,00"
"0000000000014364133";"Aéreo";"Brasil";"Rio Grande do Sul";"Santa Maria";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"207,69";"0,00"
"0000000000014364133";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"137,47";"0,00"
"0000000000014364133";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"610,83";"0,00"
"0000000000014364443";"Aéreo";"Brasil";"Paraná";"Curitiba";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"152,02";"0,00"
"0000000000014364443";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Paraná";"Curitiba";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"233,50";"0,00"
